"","Method","m","r","i1","i2","Case","mean_n_coint","sd_n_coint","mean_n_norms","sd_n_norms"
"1","PCA",300,150,150,30,"Case 4",131.16,4.87566623264157,18.3311553663056,0.232060402801675
"2","PCA",300,150,200,20,"Case 3",141.14,3.11730264131922,18.7989133581489,0.147772397070502
"3","PCA",300,150,250,10,"Case 2",146.69,1.19506561250076,19.056601905281,0.0557232441955007
"4","PCA",300,150,300,0,"Case 1",147.72,0.514045157785213,19.0998191959946,0.0239965790742126
"5","PCA",300,200,150,30,"Case 4",82.33,5.11297616389176,14.8365451695849,0.242486298316772
"6","PCA",300,200,200,20,"Case 3",90.89,3.10716018969805,15.2334115685065,0.147629344486507
"7","PCA",300,200,250,10,"Case 2",96.25,1.60412977131912,15.4814652839388,0.0749052881607593
"8","PCA",300,200,300,0,"Case 1",97.61,0.601261300530104,15.537883309487,0.0277203812427823
"9","PCA",300,250,150,30,"Case 4",27.05,5.51100826720593,9.9785897212963,0.249205419512529
"10","PCA",300,250,200,20,"Case 3",35.76,3.86677115846273,10.358865384695,0.172341693215499
"11","PCA",300,250,250,10,"Case 2",42.29,3.0328004859995,10.6478008605915,0.136691854701878
"12","PCA",300,250,300,0,"Case 1",46.15,1.64147630029935,10.8107461557612,0.0746809094578446
"13","PLS",300,150,150,30,"Case 4",142.05,0.538891492235719,20.2536738877591,0.0317106035899935
"14","PLS",300,150,200,20,"Case 3",142.02,0.283556062188838,20.2137133994535,0.0249386782070951
"15","PLS",300,150,250,10,"Case 2",142.04,0.281410588272579,20.2212938720433,0.0248021255324489
"16","PLS",300,150,300,0,"Case 1",142.04,0.373895680368174,20.3636880336194,0.0270359400645511
"17","PLS",300,200,150,30,"Case 4",92,0.426401432711221,17.9865602810971,0.0349138236560323
"18","PLS",300,200,200,20,"Case 3",91.93,0.408371983328529,17.9183831236732,0.0397222518377126
"19","PLS",300,200,250,10,"Case 2",91.98,0.347574568701568,17.9472272699559,0.0339323841773083
"20","PLS",300,200,300,0,"Case 1",91.94,0.445403006707227,18.1471098585607,0.0392113278747783
"21","PLS",300,250,150,30,"Case 4",42.02,0.681353376921568,15.7067328497079,0.0645420015926452
"22","PLS",300,250,200,20,"Case 3",41.96,0.567112124377677,15.5944948165421,0.0551792970752029
"23","PLS",300,250,250,10,"Case 2",41.99,0.858645868372245,15.6532694038388,0.0699308303115933
"24","PLS",300,250,300,0,"Case 1",42.1,0.893297149877799,15.9016527292452,0.0712510695859825
